countdown_index,title,year,tMeterScore,adjusted_score,critics_consensus,synopsis,synopsis_link,director,cast
34,The Rock,1996,66.0,69.333,"For visceral thrills, it can't be beat. Just don't expect The Rock to engage your brain.","The sophomore film from former music video and commercial director Michael Bay, this fast-paced action yarn featured rapid-fire editing, a...",https://www.rottentomatoes.com/m/1072011-rock/,Michael Bay,"Sean Connery, Nicolas Cage, Ed Harris, Michael Biehn"
33,RoboCop,1987,89.0,94.327,"While over-the-top and gory, Robocop is also a surprisingly smart sci-fi flick that uses ultraviolence to disguise its satire of American culture.","In near-future Detroit, a murdered police officer is resurrected as an experimental crime-fighting cyborg named Robocop. Tormented by memories of...",https://www.rottentomatoes.com/m/1017712-robocop/,Paul Verhoeven,"Peter Weller, Nancy Allen, Ronny Cox, Kurtwood Smith"
32,John Wick: Chapter 2,2017,89.0,100.315,"John Wick: Chapter 2 does what a sequel should -- which in this case means doubling down on the non-stop, thrillingly choreographed action that made its predecessor so much fun.","In this next chapter following the 2014 hit, legendary hitman John Wick (Keanu Reeves) is forced back out of retirement...",https://www.rottentomatoes.com/m/john_wick_chapter_2/,Chad Stahelski,"Keanu Reeves, John Leguizamo, Bridget Moynahan, Thomas Sadoski"
31,Casino Royale,2006,95.0,103.895,"Casino Royale disposes of the silliness and gadgetry that plagued recent James Bond outings, and Daniel Craig delivers what fans and critics have been waiting for: a caustic, haunted, intense reinvention of 007.","James Bond's first 007 mission takes him to Madagascar, where he is to spy on a terrorist Mollaka. Not everything...",https://www.rottentomatoes.com/m/casino_royale/,Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench"
30,Baby Driver,2017,93.0,109.093,"Stylish, exciting, and fueled by a killer soundtrack, Baby Driver hits the road and it's gone -- proving fast-paced action movies can be smartly written without sacrificing thrills.","A talented, young getaway driver (Ansel Elgort) relies on the beat of his personal soundtrack to be the best in...",https://www.rottentomatoes.com/m/baby_driver/,Edgar Wright,"Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal"
29,Fist of Legend (Jing wu ying xiong),1994,100.0,76.88,No consensus yet.,"Jet Li stars in this historical Hong Kong action film, as Chen Zhen, a Chinese student in Japan in the...",https://www.rottentomatoes.com/m/fist_of_legend/,Gordon Chan,"Jet Li, Paul Chiang, Yasuaki Kurata, Shinobu Nakayama (II)"
28,The Killer,1989,98.0,100.633,The Killer is another hard-boiled action flick from John Woo featuring eye-popping balletic violence and philosophical underpinnings.,"Chow Yun-Fat, director John Woo's favorite actor, stars as a professional assassin. The moral outrages of his employers lead Yun-Fat,...",https://www.rottentomatoes.com/m/1032434-killer/,John Woo,"Yun-Fat Chow, Sally Yeh, Danny Lee, Kenneth Tsang"
27,The Raid 2,2014,80.0,86.3,"Although its high-energy plot and over-the-top violence may play better with genre aficionados, The Raid 2 definitely delivers more of everything audiences loved about its predecessor.",He thought it was over. After fighting his way out of a building filled with gangsters and madmen - a...,https://www.rottentomatoes.com/m/the_raid_2/,Gareth Evans,"Iko Uwais, Yahan Ruhian, Arifin Putra, Oka Antara"
26,Enter the Dragon,1973,94.0,98.683,"Badass to the max, Enter the Dragon is the ultimate kung-fu movie and fitting (if untimely) Bruce Lee swan song.","One of the most popular kung fu films ever, and perhaps the peak of the famed Bruce Lee's career, Enter...",https://www.rottentomatoes.com/m/enter_the_dragon/,Robert Clouse,"Bruce Lee, John Saxon, Jim Kelly, Shih Kien"
25,Commando,1985,71.0,73.038,"The ultimate '80s Schwarzenegger movie, replete with a threadbare plot, outsized action, and endless one-liners.",Colonel Matrix (Arnold Schwarzenegger) is retired and living peaceably with his 10-year-old daughter (Alyssa Milano) when she is kidnapped by...,https://www.rottentomatoes.com/m/1004567-commando/,Mark L. Lester,"Arnold Schwarzenegger, Alyssa Milano, Rae Dawn Chong, Dan Hedaya"
